review,rating,sentiment
setelah update kok malah makin lemot. harusnya update memperbaiki dan mempercepat kinerja aplikasi. ini malah makin lambat dan lemot. tolong update nya yang bener napa,1,Negative
sangat membantu,5,Positive
mantap,5,Positive
"BANK LINTAH DARAT, minta Verification number aja nyedot pulsa, sdah 5 kalipun gk ada masuk kodenya, pulsa pun habis kesedot, padahal nomer sdah bener",1,Negative
buka rekening gak ada agent yg nyambung sama sekali seharian,1,Negative
good job,5,Positive
bkin malu setiap mau log in trnsfer dan qris gak bisa masuk lemot . kita jadi ditungguin lamaa . bikin mau nangis,1,Negative
"jangan update terus woy, masa dua hari berturut turut update, kadang sehari 2x update!! emang kuota kami gak beli???",1,Negative
bagus,5,Positive
"ini ngeselin bgt si, masa tiap bln hrs verifikasi pake sms, mesti beli pulsa trs, pdhl g pernah beli pulsa, tiap 6 bulan aja kek. Gw pake app ini cuma buat liat mutasi sm pemasukan, masa di bca mobile g ada, kalo ada duit masuk juga g ada notif, diem2 bae jd kan g tau, mana hapal duit terakhir brp.",1,Negative
"costumer service nya lelet,sudah 1x24 jam tetap ngga bisa video call, padahal saya mau verifikasi rekening saya.",1,Negative
apk aneh mau bikin rekening disuruh ngidupin data padahal udah idup masih aja dipintai gajelas banget apkny,1,Negative
bagus,5,Positive
"sangat mudah bertransaksinya..nyaman,dan mudah dipahami..👍🙏",5,Positive
"aplikasi kurang update dan di perhatikan, event yg sudah lama berakhir di bulan januari masih tampil di layar utama padahal sudah lewat 4 bulan. ini menggaggu tampilan aplikasi jadi terlihat tidak bersih dan tidak di perhatikan",3,Neutral
"bagus desain menarik, cepat responnya",5,Positive
oke sangat lengkap,5,Positive
tidak terlihat apa2 setelah login... loding terus warna putih tulisan jumlah saldonya... tolong perbaiki cepat... ty,1,Negative
"setelah update lagi buka aplikasi dan scrolling kembali normal, walaupun memang agak berat aplikasinya",4,Positive
"Terlalu sering minta Update, mengganggu transaksi",3,Neutral
bagus mantap,5,Positive
terima kasih atas sarannya untuk bintang 1 sebelum nya hanya agar di notice Terima kasih atas sarannya🙏,5,Positive
Bintang Abadi koba,5,Positive
oke,5,Positive
gud,5,Positive
"verifikasi gagal terus, stresss",1,Negative
"oke dah langsung ada perbaikan, so far very very good BCA, keep up d good work",5,Positive
bagus banget ya,5,Positive
cukup membantu 👍,5,Positive
Asli ribet banget,1,Negative
lebih mudah pemakaiannya,5,Positive
bagus sangat praktis,5,Positive
",saya kemaren sudah bikin tapi kartu hp nya saya pindah hp lain kok gak bisa gemana ya caranya",1,Negative
"Terimakasih BCA, saya selaku pengguna BCA merasa puas dengan pelayanan yang di berikan",5,Positive
opsi e-wallet nya dibtambahin dong,5,Positive
Oke,5,Positive
ribet harus pakai kouta ga bisa pake wifi,1,Negative
keren,5,Positive
"bagus, terimakasih",5,Positive
mantap,5,Positive
ini kenapa kak abis update an mau masuk ke my bca malah salah password/Id bca nya salah padahal udah bener,4,Positive
kemaren saya terjadi gagal transaksi saldo terpotong tapi tidak masuk uang yg di kirim nya setelah melakukan pengaduan melalu email dan hallo BCA tidak sampai 1x24 jam uang saya langsung kembali emang terbaik BCA ini semoga akan terus begitu,5,Positive
"awalnya mau download, tapi di btlkan, ternyata bnyk rivew yg jelek ... nanti ajalah download dan pakai jika udah di perbaiki aplikasinya ke lebih baik...",3,Neutral
"ini kenapa bca id nya log out sendiri, padahal ga di apa2 in, mana mesti verifikasi pake no hp lama yg udah hangus, hadehhh",1,Negative
"mau login, masukin nomor HP tapi kode negara gak ada Kode Negara Indonesia.. aneh",2,Negative
bagus mudah di gunakan,5,Positive
bagus dan bertransaksi lebih mudah👍👍👍,5,Positive
Saya gagal bayar melalui Qris payment ke dana toko saya sendiri tapi kok saldonya gak dikembalikan tolol bgtt nii apk tolong itu saldo saya kembalikan woi..!!! updated= Alhamdulillah abis maki maki di sini tadi saya lihat saldo saya yang terpotong dikembalikan lagi thanks sudah amanah memang bank swasta lebih ok ketimbang bank negeri👌😋,5,Positive
"Terima kasih yaa fast banget respon dan solusinya, maap sebelumnya aku ada keluhan dan kritik dulu dan untungnya keluhan saya didengar besttt ... thank you",5,Positive
bca ITS the best,5,Positive
"aplikasi nya rusak, masa mau buka gak bisa Ngestuck layar putih",1,Negative
sanagata baik sekali cepat simple.,5,Positive
transaksi gagal tp saldo terpotong. uang tidak masuk ke pihak ke3. meng hubungi cs katanya saat ini tidak bisa di hubungi udah dari kemaren.,3,Neutral
"bca semakin buruk , qris saldo terpotong tapi yang bersangkutan tidak menerima saldo tapi saldo kita sudah dipotong pihak bca , giliran menyampaikan keluhan tidak digubris , bca jelek",1,Negative
Tiap hari hari updaate ga jelas,1,Negative
"sangat lambat menanggapi komplain, qris eror, proses gagal tapi saldo berkurang, telpon cs susahnya setengah mati,",1,Negative
buruk sangat pelayanan mu,1,Negative
saya melalukan QR sebesar 400k tetapi QR gagal dan saldo terpotong sebanyak 2x tetapi belum ada pengembalian refund sampai skrng juga,1,Negative
kenapa transaksi qris gagal tapi saldo selalu berkurang?,1,Negative
"semalam tgl 13 mei 2026, saya bayar qris 100rb sampai 4x gagal trus gk masuk ke mereka. tpi saldo saya berkurang, saat lihat email ada info pembayaran gagal. tpi saldo saya blum balik-balik. mohon maaf sampai sekarang saldo saya belum kembali dan dari pihak apotek bilang masih belum ada info dana masuk",1,Negative
Kayanya di Indonesia terbanyak yang pakai bank bank BCA,5,Positive
gajelas responya lambat,1,Negative
Kontolll!!!,1,Negative
Please add face id unlock untuk android. Ini menggangu kalau hp pakai tempered glass untuk hp dg ultrasonic fingerprint,5,Positive
"telfon CS by aplikasi selalu sibuk, ketika sudah tersambung , hanya ada nyanyian",1,Negative
KEMARIN SALDOKU HILANG DI BCA 30 KALI 4 = 120 RIBU. TRANSAKSI ERROR/GAGAL DAN BELUM DIKEMBALIKAN OLEH BCA . TRANSAKSI MELALUI QRIS .,1,Negative
"saran saya jangan terlalu banyak update. selalu ada pembaruan, minimal di rangkum dlu sampai banyak baru di update . ini hampir tiap 1 & 2 minggu update lagi",4,Positive
"bca kok skrg jadi sampah bgt ya qris gagal smlm 2x saldo ttp kesedot udh bikin laporan udh seharian blm balik juga duitnya kecil sih saldo yg kesedotnya cuma 200an kurang tapi dia gatau apa ya org kek gw gini itu duit gw satu"" nya buat makan kek skrg msi blm balik duitnya gbsa makan gw ujungnya cuma perkara qris kgk jelas.",1,Negative
"Aplikasi tidak jelas,masa dipilihan kode Negara tidak ada Indonesia.Auto Uninstall, percuma instal tidak bisa digunakan juga",1,Negative
transaksi QR gagal tapi saldo kepotong,1,Negative
"tranfer gagal, saldo berkurang 13 mei sampai sekarang gak ada kejelasan",1,Negative
Tolong Tambahkan Pembayaran Tiket Kapal Laut PT ASDP Merak - Bakauheni,4,Positive
Tolong dong pihak BCA ini gmna ni udah 2 kali saya kena transaksi Qris gagal tapi saldonya ke potong ni... tolong di perbaiki lagi ini aplikasi nya,3,Neutral
Qris Gagal tapi saldo berkurang. update tiap minggu,1,Negative
kenapa setelah update malah jadi Force Close! saya sama sekali gak bisa ke home login,1,Negative
setelah melakukan update tiba-tiba saya pas transaksi Qris gagal dan saldo direkening saya berkurang!!!,5,Positive
"Pernah punya pengalaman myBca trouble menyeluruh pada tgl 29 September 2025, beberapa kali ke kantor terdekat BCA dibantu pemulihan myBCA oleh petugas yang ramah2 (namun selalu gagal di OTP) dianjurkan untuk ganti SIM ke simPATI (sebelumnya saya pakai kartu pascabayar penggunaan dibatasi sesuai tagihan), setelah ganti kartu penerimaan SMS - OTP, Alhamdulillah bisa menerima OTP-nya. Saran utk yg gagal OTP, isi pulsa kartu pascabayar anda atau ganti simPATI dgn isi pulsa sesuai kebijakan. Thnks.",5,Positive
"saya minta pengiriman kartu debit lewat myBCA , kena biaya admin total 45ribu , tapi kartu gagal terus pengirimannya padahal saldo saya sudah terkredit , lalu saya cetak kartu debit di mesin cs digital kena biaya juga , minta pengembalian dana terkait biaya pengiriman kartu debit yang gagal gabisa kata admin WA , terus solusi buat nasabah apa?",1,Negative
"gara gara update terbau bulan mei, jadi gak bisa transaksi... tiap mau transaksi minta login ulang, dan verifikasi otp... sampe 3 kali login ulang lho .. sementara gak pakai mybca sebelum ada info perbaikan",1,Negative
minta penjelasan masalah Qris gagal di balas cuma pake template ga ada tanggung jawab nya nih bca,1,Negative
kenapa pas update scan qris gagal tapi saldo kepotong ya? terus agak sering error. tolong perbaiki min,4,Positive
bener parah ini ke instal baru isi saldo buat bayar listrik transaksi gagal tapi duit gak balik lagi,1,Negative
"saldo awal saya 100 rb , saya pakai buat qris 60 rb otomatis masih 40 rb kan. . saya check saldo saya 0 rupiah ... sangat mengecewakan",1,Negative
transaksi Qris tgl 13 mei 2x gagal tapi saldo terpotong dan ga masuk ke merchant,1,Negative
Kenapa habis update ko jadi salah password ...padahal password nya benar..baru sekali salah langsung di blokir...,1,Negative
"myBCA adalah layanan perbankan digital terintegrasi dari BCA yang memungkinkan nasabah mengakses seluruh rekening (tabungan, investasi, kartu kredit) melalui satu user ID (BCA ID) di ponsel maupun peramban komputer. Sebagai banking superapp, myBCA menyediakan fitur lebih lengkap seperti investasi (Welma), Paylater, dan pengecekan mutasi hingga 5 tahun.",5,Positive
"ini bca kenapa ya saya mau hub halo bca selalu sedang melayani cs lain, saya mau kompline ada trx saya yg gagal tapi dana tak kunjung di kembali kan mau kompline saja susah pelayanan nya jelek sekali ya",1,Negative
"mybca sekarang banyak gangguan , transaksi gagal terus tapi saldo malah kepotong ,",1,Negative
Alhamdulillah membantu,5,Positive
puas dgn koment cept,5,Positive
CS HALO BCA SUSAH DI HUBUNGI. MENUNGGU SAMPAI 30MENIT. JD SEBOBROK GINI BCA?,1,Negative
fitur qris nya banyak hangguan transaksi gagal tapi saldo berkurang dan saldo sampai sekarang jam 09:42 wib belum juga kembali,3,Neutral
bagus ga ni apk nya ??????,3,Neutral
"saldo terpotong, padahal transaksi gagal",1,Negative
SERING KEJADIAN BAYAR PAKAI QRIS GAGAL TAPI SALDO KEPOTONG. SISTEM NYA RUSAK. DARI DULU PADAHAL BANYAK KELUHAN KEK GINI. BKN NYA DI PERBAIKI SISTEM NYA. MALAH MAKIN RUSAK. KECEWA SIH PAKAI BANK INI. KAPOK LAH. OIA UNTUK PENGEMBALIAN DANA NYA LAMAAAAAAA BGT. KLO GA LAPOR MINIM SEBULAN PALING LAMA 3 BLN . KLO SALDO BANYAK YA GA MASALAH NUNGGU LAMA. INI SALDO TERKAHIR BUAT MAKAN MALAH SISTEM NYA RUSAK. MERUGIKAN BANGET SIH,1,Negative
oke sejauh ini aplikasinya memudahkan & cepat,5,Positive
sangat tidak membantu pelayanan buruk sekali,1,Negative
"transaksi gagal tapi saldonya hilang, please balikin uangkuu ihh",3,Neutral
"update mulu, aplikasi butut, telpon ke hallo bca aja susah banget, kualitas burukkkkk",1,Negative
"baru kali ini saya merasa dirugikan ama bca, transaksi qris gantung sampai ganti hari",1,Negative
di coba dulu klo om,5,Positive
gara gara update akun ilang kenapa harus gitu? gabisa nyimpen data yang bnr apa gmn,1,Negative
sumpah nyesel saya pake bca transaksi qris gagal salado malah terpotong,1,Negative
payah...transaksi gagal tapi saldo berkurang...sampai 3 kali...chat g ada respon ...tlp ada kesalahan...jadi kaya gini bca....telp sampai 40 menit cuman di suruh dengerin musik ..sambil bilang silah kan tunggu...😵😵😵😵😵,1,Negative
ini my BCA gangguan kah kok lama ya transaksi saya gagal saldo terpotong belom masuk kembali hub hallo BCA no respon chat hallo BCA pun sama mohon d bantu dr semalam sampe skr belom kembali saldo saya,4,Positive
tolong dong kak caranyaa ngembaliin saldoku yang kepotong... transaksi gagal tapi saldo kepotong herannn akuuu!!!,1,Negative
kalo di abdet agak susah,5,Positive
"bca udah ga jelas, kirim uang 2x gagal dana nya kepotong, hubungi halo bca ga ada respon, nunggu uang kembali hapus myBCA biking kesel bjr",1,Negative
"habis di updete tambah gk jelas,,transaksi gagal saldo berkurang aneh banget",1,Negative
mau login minta di masukin no hp kode negara Indonesia nya malah gada gimana mau masuk,1,Negative
cepet pelayanannya sangat memuaskan terima kasih mybca,5,Positive
Lagi rame di threads setiap bayar Qris pake mybca gagal sampai 5x padahal saldo tetap terpotong. dan di saya baru kejadian semalem bayar Qris grab gagal terus akhirnya bayar pakai cash tapi tetap terpotong sampai 3x dan dana baru kembali 1x yg 2x nya hilang.,1,Negative
qris gagal tapi saldo berkurang,1,Negative
"teruntuk ibu/bapak pihak menejemen yg terhormat, tolong di perbaiki lagi sistemnya, saya tranfer menggunakan Qris, saldo saya terpotong namun, tidak masuk ke penerima, tolong jngan kecewakan pengguna setia BCA",4,Positive
mudah dan praktis,5,Positive
gagal kirim melalui qr tapi saldo tetap berkurang,1,Negative
efisien dan efektif,5,Positive
"transaksi qris gagal tapi saldo berkurang, gmna si ini",2,Negative
UANG SAYA HILANG 100 GARA GARA BCA GANGUAN UANG YANG HARUSNYA SAYA GUNAKAN BUAT BEROBAT MALAH HILANG SAYA KECEWA PAKAI MYA BCA!!!,1,Negative
sangat bagus,5,Positive
"ini gimana BCA,transaksi gagal saldo saya ke potong ini gimana",1,Negative
"kebanyakan update aplikasi makin lemot Ampe bayar qris aja gagal terus kocak bgt nih sekelas BCA duit gw ilang sia""",1,Negative
Kenapa mybca tidak bisa di downdlod,3,Neutral
"ada pemberitahuan update app my BCA,,tapi setelah saya update saldo saya hilang,,saya hubungi cs gak ada yg respon,,chat via WhatsApp pun gak di bales,,tolong donk perbaiki keamanannya,,trus saldo saya gimana tuh",1,Negative
transaksi gagal tpi saldo tidak kembali 😌,1,Negative
sangat bagus dan membantu,5,Positive
bermanfaat dan mudah,5,Positive
keren tapinya sayang baru 3 hari minta diupdate lagi,4,Positive
"benerin sistem lu, bisa2nya duit ilang",1,Negative
layanan terlalu lambat,1,Negative
tolong balikin saldo saya woy,1,Negative
"gangguan pas saya pake qris uang, tf nya gagal tapi pengeluaran berhasil. saldo saya hilang semua dan penanganannya belum memuaskan (tidak pasti)",2,Negative
tolong dong perbaiki lagi sistemnya masak transaksi qris gagal malah saldo terpotong..🙏🏻🙏🏻 atas perhatiannya terimakasih,3,Neutral
"transaksi gagal saldo berkurang , udah gak jelas BCA sekarang",1,Negative
langsung aja bintang 1 lagi viral Qris eror saldo kepotong !,1,Negative
"Halo myBCA, saldo saya tiba tiba hilang setelah transaksi Qris BCA gagal. mohon di kembalikan saldo nya. saya kasih rating 2 dulu 🙏🏻",2,Negative
"bca terhormat, ini hari rabu 13 Mei nasabah kesulitan menghubungi bca perihal complaine transaksi pembayaran qris gagal tapi saldo terpotong, dan tidak balik lagi. pelayanan bca skrng sering eror tidak kyk dulu",1,Negative
masa hbis update brusan saldo 100k hilang aneeeeh pending nya,1,Negative
"setelah update pelayanan tambah buruk, saya bayar qris bca saldo sudah terpotong tapi dana tidak masuk ke penjual, dapat email transaksi gagal dan sampai saat ini uang saya tidak dikembalikan/tidak bisa refund, coba hubungi via wa dan chat website nihil semua. padahal dulu bca bagus gak seburuk kayak sekarang ini, parah.",1,Negative
"gak pernah sekecewa ini sama bca, baru kali ini ngerasa bca ribet dalam proses aktivasi mbanking dibanding bank lain. coba dong dipermudah proses aktivasinya. masa udah telpon sama cs, udah ditanyain macem2, masih harus ke mesin atm, registrasi nmr telepon segala. Habis itu disuruh lagi verifikasi nmr telpon yang cuman dikasih waktu 50 dtk buat ngecek sms pas balik ke apk udah gagal verif. nunggu lgi deh 30 mnt. Harusnya bisa lgsg waktu telpon sma cs sekalian diaktifin tu nmr telpon sma csnya.",1,Negative
min mlm saya tdi transaksi qris gagal dari jm 9 tapi sampe sekarang saldo belom balik gimna yah min,2,Negative
"dikit² update, makin bagus kagak lu lah!",2,Negative
"Maaf bapak/ibu, saya tadi trasaksi Di grosir melalui Qris tetapi gagal untuk melakukan Qris,,tetapi saldo Di Rekening saya ikut berkurang,Sedangkan di trasaksi grosir ya tidak masuk dalam katagori Trasaksi berhasil l.Tolong mohon di tindak lanjuti supaya jelas dalam Transaksi tersebut.",1,Negative
"cs manusianya selalu antri,yg balas chat bot terus, parah srkarang",1,Negative
mau login verifikasi wajah susah bener disuruh pakaian sopan ribet amat udah pake kaos terang kecewa berat suruh buka mulut ampe pegel gak ke detek detek baru di suruh tengok kanan sekali langsung gagal baru buka beberapa detik force closs haduuhh haduhhh verifnya susah banget,1,Negative
saya sangat puas dengan api ini mudah untuk pembayaran apapun,5,Positive
baik,5,Positive
transaksi QRIS gagal duit engga balik sudah telpon berkali kali ga ada jawaban,1,Negative
baru hari ini tanggal 13 mei 2026 ngerasa tolol banget udah pake BCA. transaksi qris 2x diketerangan mutasi gagal tp saldo kepotong. dan gongnya gaada CS yg bisa dihubungi. gimana dah ini konsepnya,1,Negative
Makin gk jelas BCA masa Qris gagal saldo ke potong mending gk usah pke BCA lagi,1,Negative
"Transaksi gagal tapi saldo hilang, itu gimana ?",1,Negative
kebanyakan update² mulu ganggu banget asli dah,1,Negative
mau laporan kmana ya udah chat halo BCA dan email ga respon ! saya transaksi QRIS SALDO KEPOTONG TAPI GA MASUK SALDONYA DI QRIS TERSEBUT!,3,Neutral
Awas Bca Bayar pake kiris Gagal tapi saldo nya tetap di ambil ga di balikin,1,Negative
saya menggunakan QR gagal namun saldo terpotong,5,Positive
"Ga jelas bgt, transaksi 3 kali gagal trus tiba2 beberapa jam kemudian ada notifikasi cashflow transaksi 3 kali yang gagal itu jadi berhasil, hubungi cs ga ada respon, di suruh nunggu sampe 10 menit cuman dengerin lagu, chat wa bot bales Lemot, cs wa juga ga ada respon Buang2 waktu, gjls bgt deh",1,Negative
in apk BCA gimana sih saya transaksi qris BCA namun gagal tapi saldo terpotong gimana nih iyh kalo ngga bisa harusnya Jangan terpotong dong saldonya terus saya transaksi qris BCA salam proses mulu tapi saldo terpotong aneh bangt tolong lh pihak BCA di perbaiki lg dan tolong balikin saldo saya yang terpotong,1,Negative
"tolong bantu saya ,saya melakukan pembyaran QRIs gagal tp saldo saya terpotong tolong kembalikan saldo saya",1,Negative
"13 Mei 2026, pukul 21.05. Bayar pake QRIS, Adik saya 1x gagal, saya 2x gagal, ponakan saya 6x gagal, tapi semua saldo dari 3 rekening BCA berbeda itu terpotong. Tolong kembalikan saldo tanpa kami harus repot ke Bank BCA terdekat atau telepon ya. Ini murni kesalahan pihak Bank, kami gak mau repot.",1,Negative
ini aplikasi kenapa kalau transaksi gagal tapi saldo kepotong??? 4x transaksi gagal dan saldo terpotong. rugi saya jadinya saldo hilang tanpa transaksi yang berhasil. bisa dibalikan lago saldonya???,3,Neutral
Saya Melakukan Pembayaran Via Qris Transaksi Gagal Tapi Saldo Terpotong?,3,Neutral
sangat buruk.. tlp pakai my bca gagal terus,1,Negative
bca lagi gangguan???,1,Negative
"13/05/2026 qris eror 2x transaksi gagal tapi saldo kepotong sudah 2 jam saldo blm balik , di telpon lewat mybca notip ""oppsss ada kesalahan"" aneh banget",2,Negative
ok,5,Positive
"saldo saya dipotong saat transaksi,saya menerima email pengiriman gagal,tapi tetap dipotong,harusnya refund saldo saya, ini malah gk ada tanggapan",1,Negative
"jelek sekrang transaksi pake bca sering gangguan ,transaksi gagal saldo kepotong baliknya lama pengjuan ke halo bca banyak gangguan parah",1,Negative
transferan gagal . tapi saldo sudah terpotong ?? hello BCA ...... ada apa ini sering terjadi,1,Negative
"tolong benerin lagi masa diriwayat ada masuk pas di cek saldo ga ada,gak nambah terus tiba tiba ada riwayat pembayaran padahal gak melakukan pembayaran apk aneh gajelas saldo gak masuk pas mau ke pusat bantuan malah eror",1,Negative
bca sekarang parah bangt sering bangt hilang duit .. duit receh aja masih di ambil .. gila parah bangt ..,1,Negative
"setelah update , transaksi qris gagal tapi saldo terpotong",1,Negative
2 kali transaksi gagal tapi saldo udh ke potong sistem padahal duit yah buat bayar ansuran hari ini telpon ke cs selalu gangguan gimana inii parah bangett kami sarankan2 beloon bacaa cs lu ajh sedang sibuk terus gua telpoin dari jam 8 gua telpoin sistem sibuk 2 jam gua coba sama ajh,1,Negative
maksudnya gimna ini saya tf 3x pake Qiuris kok gagal tapi saldo saya berkurang maksudnya gimna ini bank BCA gini banget sih,1,Negative
makin update makin sering eror,1,Negative
slowly download,1,Negative
aplikasi hari ini nge bug,1,Negative
saya transaksi gagal tapi saldo pada rekening saya terpotong. Menghubungi CS juga susah,1,Negative
pembayaran gagal tpi saldo saya GK kembalikan gmnanya,1,Negative
"ilang 48 ribu padahal tadi aplikasi pas bayar qrisnya error akhirnya bayar cash, pas nyampe rumah ada notif saldo udah kepotong",1,Negative
Qris gagal sampai 7× saldo terpotong,1,Negative
"transaksi via qris gagal... 🤣 tapi saldo terpotong, dan enggak pernah balik duit gua... kocak... udah cek ke penerima juga belum masuk... duitnya kemana?? raib???",1,Negative
pelayanan sangat buruk. nyoba hub customer service saja susah banget. aplikasi eror terus. transaksi gagal tapi dana terpotong sampai 4 kali. sangat parah. ketika hub customer service susah banget tersambung.,1,Negative
"Halo CS BCA, saya mau lapor transaksi yang sudah terdebit tapi layanan tidak diterima.* Detailnya: Tanggal: 13 Mei 2026 Merchant: TikTok Live Nominal: 4x transaksi - Rp 12.141 - Rp 12.141 - Rp 20.033 - Rp 20.033 Total: Rp 64.348 No. Rekening: 729-606-**** Status di BCA mobile: TRANSAKSI DEBIT Masalahnya koin TikTok tidak masuk ke akun saya setelah pembayaran berhasil terdebit. Mohon bantu cek dan ajukan dispute/refund ke pihak TikTok. Saya sudah lapor juga ke TikTok dan pu",1,Negative
"gimana sih konsepnya ini. pas transaksi nominal besar gk masuk, coba bantuan via email gk da respon via call center sibuk via my bca bolal balil verifikasi padahal udah dapat otp dan berhasil buat id bca. plisss bank besar kek gini sih aplilakasinya.",1,Negative
pembayaran gagal tapi saldo terpotong huft,1,Negative
aplikasinya gampang error transaksi error 3X gagal saldo kepotong 3 X,1,Negative
"ini gmna transaksi qris sya stts nya gagal,tp knp saldo trpotong?",3,Neutral
kalau transaksi gagal itu gak usah di debit dana nya. heran sekelas BCA aplikasi nya begini,1,Negative
Transfer gagal saldo gak kembali .. hilang begitu saja parahh 😩😭🥹,1,Negative
"Pembayaran Qris gagal tapi saldo tetep kepotong baru dibalikin saldo nya 2 hari kemudian ,apakah pantas pelayanan seperti itu disebut baik payah",1,Negative
makin di update makin lemot,5,Positive
QR uang sdah kepotong tapi transaksi gimana admin ..,5,Positive
"Transaksi qris gagal tapi saldo kepotong, tlp cs juga ggal jaringan terputus trs,,, tolong d benerin aplikasi nya... sebaiknya klo transaksi gagal saldo tetap tdak terpotong,..",1,Negative
